Instrument Serial Num,Reading #,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Sample ID,Project No.,Sample Type,Operator,Notes, Units,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Zr Concentration,Zr Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Pb Concentration,Pb Error1s,Real Time 1,Real Time 2,Real Time 3,
801662,73,Resin04,,73,No,,,D601-C,,In Situ,,,PPM,752,14,1664,14,4,1,6,1,25,1,481,3,43,2,<LOD,2,16,1,<LOD,10,103,7,<LOD,14,6,2,<LOD,6,<LOD,1,20,20,20,
801662,74,Resin04,,74,No,,,D601-A,,In Situ,,,PPM,<LOD,17,385,3,5,1,<LOD,2,3,1,17,1,<LOD,4,20,1,4,0,34,4,<LOD,8,<LOD,12,62,3,<LOD,7,<LOD,1,20,20,20,
801662,75,Resin04,,75,No,,,D701-A,,In Situ,,,PPM,<LOD,16,407,3,13,1,30,1,8,1,29,1,<LOD,4,17,1,17,1,50,4,<LOD,8,<LOD,12,36,2,<LOD,7,<LOD,1,20,20,20,
801662,76,Resin04,,76,No,,,D701-C,,In Situ,,,PPM,937,15,2863,18,7,1,9,1,14,1,52,1,74,2,<LOD,2,31,1,<LOD,10,181,9,<LOD,15,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,77,Resin04,,77,No,,,D801-C,,In Situ,,,PPM,1102,16,9749,42,15,1,9,1,11,1,15,1,44,2,<LOD,2,36,1,39,4,679,18,27,8,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,78,Resin04,,78,No,,,D801-A,,In Situ,,,PPM,<LOD,15,994,7,9,1,25,1,7,1,24,1,76,2,22,1,8,0,57,4,<LOD,9,<LOD,12,11,2,<LOD,7,<LOD,1,20,20,20,
801662,79,Resin04,,79,No,,,D901-A,,In Situ,,,PPM,<LOD,17,403,3,15,1,<LOD,2,3,1,14,1,<LOD,4,<LOD,2,14,1,36,4,<LOD,8,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,80,Resin04,,80,No,,,D901-C,,In Situ,,,PPM,490,12,2764,18,12,1,5,1,16,1,17,1,6,1,<LOD,2,33,1,<LOD,10,129,7,<LOD,14,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,81,Resin04,,81,No,,,D1001-C,,In Situ,,,PPM,750,14,5799,29,15,1,6,1,47,1,24,1,<LOD,4,<LOD,2,3,0,<LOD,11,313,12,<LOD,18,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,82,Resin04,,82,No,,,D1001-A,,In Situ,,,PPM,<LOD,19,407,3,15,1,<LOD,2,10,1,37,1,<LOD,4,<LOD,2,2,0,67,4,<LOD,8,<LOD,12,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,83,Resin04,,83,No,,,D1201-A,,In Situ,,,PPM,<LOD,18,362,3,9,1,<LOD,2,<LOD,2,24,1,10,1,12,1,9,1,15,3,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,84,Resin04,,84,No,,,D1201-C,,In Situ,,,PPM,358,11,430,6,5,1,7,1,11,1,5,1,749,6,19,1,46,1,<LOD,10,<LOD,9,<LOD,11,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,85,Resin04,,85,No,,,D1301-C,,In Situ,,,PPM,512,12,2405,17,7,1,7,1,15,1,15,1,<LOD,4,<LOD,2,33,1,<LOD,11,114,7,<LOD,15,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,86,Resin04,,86,No,,,D1301-A,,In Situ,,,PPM,<LOD,16,409,3,8,1,<LOD,2,<LOD,2,8,1,<LOD,4,<LOD,2,17,1,32,4,<LOD,8,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,87,Resin04,,87,No,,,D1401-A,,In Situ,,,PPM,<LOD,14,412,3,10,1,3,1,9,1,17,1,<LOD,3,28,1,4,0,33,3,<LOD,9,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,88,Resin04,,88,No,,,D1401-C,,In Situ,,,PPM,64,9,5658,28,9,1,7,1,34,1,18,1,47,2,24,1,89,1,<LOD,11,416,13,<LOD,19,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,89,Resin04,,89,No,,,A102-C,,In Situ,,,PPM,330,11,2112,16,4,1,9,1,11,1,4,1,<LOD,4,<LOD,2,1,0,12,4,264,11,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,90,Resin04,,90,No,,,A102-A,,In Situ,,,PPM,<LOD,13,339,3,3,0,15,1,6,1,<LOD,1,<LOD,4,<LOD,2,1,0,42,3,<LOD,9,<LOD,13,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,91,Resin04,,91,No,,,A202-A,,In Situ,,,PPM,<LOD,17,364,3,4,1,<LOD,2,2,1,2,1,<LOD,4,<LOD,2,2,0,38,4,<LOD,9,<LOD,13,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,92,Resin04,,92,No,,,A202-C,,In Situ,,,PPM,923,15,2545,18,6,1,6,1,12,1,4,1,<LOD,4,<LOD,2,4,0,23,4,158,9,<LOD,15,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,93,Resin04,,93,No,,,A302-C,,In Situ,,,PPM,782,14,2264,16,3,1,7,1,13,1,6,1,<LOD,4,<LOD,2,3,0,<LOD,11,185,9,<LOD,16,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,94,Resin04,,94,No,,,A302-A,,In Situ,,,PPM,<LOD,16,379,3,2,0,<LOD,2,3,1,<LOD,1,<LOD,4,<LOD,2,3,0,45,4,<LOD,6,<LOD,10,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,95,Resin04,,95,No,,,A402-A,,In Situ,,,PPM,<LOD,16,348,3,<LOD,1,<LOD,2,2,1,5,1,<LOD,4,<LOD,2,7,1,34,4,<LOD,9,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,96,Resin04,,96,No,,,A402-C,,In Situ,,,PPM,202,10,2312,17,5,1,8,1,16,1,7,1,<LOD,4,<LOD,2,2,0,<LOD,10,140,8,<LOD,14,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,97,Resin04,,97,No,,,A502-C,,In Situ,,,PPM,440,12,3780,22,2,1,8,1,20,1,4,1,22,2,<LOD,2,5,1,<LOD,11,240,10,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,98,Resin04,,98,No,,,A502-A,,In Situ,,,PPM,<LOD,16,477,4,3,1,<LOD,2,2,1,4,1,<LOD,4,<LOD,2,3,0,46,4,<LOD,9,<LOD,9,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,99,Resin04,,99,No,,,A702-A,,In Situ,,,PPM,<LOD,16,366,3,4,1,<LOD,2,2,1,2,1,<LOD,4,<LOD,2,14,1,40,4,<LOD,8,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,100,Resin04,,100,No,,,A702-C,,In Situ,,,PPM,1134,16,2637,18,3,1,7,1,12,1,7,1,<LOD,4,<LOD,2,17,1,18,4,173,9,<LOD,15,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,101,Resin04,,101,No,,,B102-C,,In Situ,,,PPM,479,12,997,10,4,1,8,1,12,1,3,1,<LOD,4,<LOD,2,136,2,26,4,68,6,<LOD,14,<LOD,5,<LOD,6,2,1,20,20,20,
801662,102,Resin04,,102,No,,,B102-A,,In Situ,,,PPM,<LOD,17,385,3,3,1,<LOD,2,2,1,<LOD,1,<LOD,4,<LOD,2,65,1,62,4,<LOD,8,<LOD,12,<LOD,5,<LOD,7,3,1,20,20,20,
801662,103,Resin04,,103,No,,,B202-A,,In Situ,,,PPM,<LOD,15,503,4,7,1,<LOD,2,5,1,<LOD,2,<LOD,4,<LOD,2,155,2,3357,16,<LOD,9,<LOD,12,<LOD,5,<LOD,7,12,1,20,20,20,
